"","match_id","id","goals","own_goals","shots","xG","time","player_id","team_id","position","player","h_a","yellow_card","red_card","roster_in","roster_out","key_passes","assists","xA","xGChain","xGBuildup","positionOrder"
"20",15869,"430263","0","0","0","0","83","3373","235","DC","Pablo Martinez","a","0","0","430272","0","0","0","0","0.02061116136610508","0.02061116136610508","3"
"21",15869,"430264","0","0","0","0","90","6868","235","DL","Gaetan Paquiez","a","0","0","0","0","0","0","0","0","0","4"
"22",15869,"430265","0","0","0","0","90","4904","235","MC","Adrián Cubas","a","0","0","0","0","0","0","0","0","0","9"
"23",15869,"430266","0","0","2","0.11496220529079437","72","3740","235","MC","Lucas Deaux","a","0","1","0","0","0","0","0","0.017270399257540703","0","9"
"24",15869,"430267","0","0","0","0","49","7913","235","MC","Lamine Fomba","a","0","0","430273","0","0","0","0","0","0","9"
"25",15869,"430268","0","0","1","0.0171832162886858","90","7773","235","FWR","Zinedine Ferhat","a","0","0","0","0","3","0","0.07658753544092178","0.07658753544092178","0.02061116136610508","14"
"26",15869,"430269","0","0","0","0","46","7776","235","FW","Kévin Denkey","a","1","0","430271","0","0","0","0","0","0","15"
"27",15869,"430270","0","0","0","0","90","6864","235","FWL","Renaud Ripart","a","0","0","0","0","0","0","0","0.02061116136610508","0.02061116136610508","16"
"28",15869,"430271","0","0","2","0.0386686809360981","44","7774","235","Sub","Haris Duljevic","a","0","0","0","430269","0","0","0","0.0386686809360981","0","17"
"29",15869,"430272","0","0","0","0","7","6862","235","Sub","Florian Miguel","a","0","0","0","430263","0","0","0","0.037918854504823685","0.037918854504823685","17"
"30",15869,"430273","0","0","1","0.037918854504823685","41","8982","235","Sub","Niclas Eliasson","a","0","0","0","430267","2","0","0.11487501859664917","0.037918854504823685","0","17"
"1",15870,"430214","0","0","0","0","90","5984","180","GK","Alexandre Oukidja","h","1","0","0","0","0","0","0","0.1730749011039734","0.1730749011039734","1"
"2",15870,"430215","0","0","1","0.01248458493500948","90","7763","180","DR","Fabien Centonze","h","1","0","0","0","0","0","0","0.17678163945674896","0.17678163945674896","2"
"3",15870,"430217","0","0","1","0.015309897251427174","90","8244","180","DC","Dylan Bronn","h","0","0","0","0","0","0","0","0.030274927616119385","0.014965030364692211","3"
"4",15870,"430216","0","1","1","0.022975770756602287","90","7767","180","DC","John Boye","h","0","0","0","0","0","0","0","0.014965030364692211","0.014965030364692211","3"
"5",15870,"430218","0","0","0","0","90","7765","180","DL","Thomas Delaine","h","0","0","0","0","0","0","0","0.037427403032779694","0.037427403032779694","4"
"6",15870,"430220","0","0","1","0.05946962162852287","74","5105","180","DMC","Victorien Angban","h","0","0","430227","0","1","0","0.022462371736764908","0.09689702093601227","0.014965030364692211","7"
"7",15870,"430219","0","0","0","0","56","7764","180","DMC","Mamadou Fofana","h","0","0","430228","0","1","0","0.014965030364692211","0.014965030364692211","0.014965030364692211","7"
"8",15870,"430221","0","0","3","0.0850461944937706","57","8749","180","AMR","Lamine Gueye","h","0","0","430226","0","1","0","0.02264496311545372","0.08773749321699142","0.014965030364692211","11"
"9",15870,"430222","0","0","4","0.27277079224586487","90","5757","180","AMC","Farid Boulaya","h","0","0","0","0","4","0","0.26062461733818054","0.34985652565956116","0.18427897989749908","12"
"10",15870,"430223","0","0","1","0.052117642015218735","56","6407","180","AML","Vágner","h","0","0","430229","0","0","0","0","0.037609994411468506","0.037609994411468506","13"
"11",15870,"430224","0","0","2","0.1732574850320816","83","5676","180","FW","Opa Nguette","h","0","0","430225","0","0","0","0","0.2106848955154419","0.037427403032779694","15"
"12",15870,"430226","0","0","0","0","33","4501","180","Sub","Thierry Ambrose","h","0","0","0","430221","1","0","0.16181661188602448","0.16181661188602448","0","17"
"13",15870,"430229","0","0","0","0","34","8278","180","Sub","Papa Ndiaga Yade","h","0","0","0","430223","0","0","0","0.16181661188602448","0.16181661188602448","17"
"14",15870,"430227","0","0","1","0.014871387742459774","16","5761","180","Sub","Youssef Maziz","h","0","0","0","430220","0","0","0","0.17668800055980682","0.16181661188602448","17"
"15",15870,"430225","0","0","0","0","7","5787","180","Sub","Aaron Leya Iseka","h","0","0","0","430224","0","0","0","0","0","17"
"16",15870,"430228","0","0","0","0","34","9021","180","Sub","Pape Sarr","h","0","0","0","430219","0","0","0","0","0","17"
"17",15870,"430230","0","0","0","0","90","7728","241","GK","Gautier Larsonneur","a","0","0","0","0","0","0","0","0.24677671492099762","0.24677671492099762","1"
"18",15870,"430231","0","0","0","0","90","3517","241","DR","Ronael Pierre Gabriel","a","0","0","0","0","0","0","0","0.10152923315763474","0.10152923315763474","2"
"19",15870,"430232","0","0","1","0.24142612516880035","90","7736","241","DC","Brendan Chardonnet","a","0","0","0","0","0","0","0","0.24677671492099762","0.24677671492099762","3"
"20",15870,"430233","0","0","1","0.10152923315763474","90","8049","241","DC","Jean-Kevin Duverne","a","0","0","0","0","0","0","0","0.24677671492099762","0.24677671492099762","3"
"21",15870,"430234","0","0","2","0.0805998221039772","90","6500","241","DL","Romain Perraud","a","0","0","0","0","0","0","0","0.16168779134750366","0.10152923315763474","4"
"22",15870,"430235","0","0","1","0.03764353320002556","82","3314","241","MR","Franck Honorat","a","0","0","430243","0","3","0","0.7410658597946167","0.19933132827281952","0.10152923315763474","8"
"23",15870,"430236","0","0","1","0.021527282893657684","90","7732","241","MC","Haris Belkebla","a","0","0","0","0","2","0","0.1668720692396164","0.18839934468269348","0","9"
"24",15870,"430237","0","0","1","0.6604660749435425","90","3741","241","MC","Paul Lasne","a","0","0","0","0","1","0","0.10152923315763474","0.30594754219055176","0.30594754219055176","9"
"25",15870,"430238","0","0","1","0.02162458375096321","90","6420","241","ML","Romain Faivre","a","0","0","430241","0","3","1","0.29203587770462036","0.3060448169708252","0.2844202518463135","10"
"26",15870,"430239","0","0","0","0","90","3800","241","FW","Steve Mounie","a","0","0","0","0","0","0","0","0.1452474743127823","0.1452474743127823","15"
"27",15870,"430240","1","0","2","0.15821368992328644","82","5724","241","FW","Irvin Cardona","a","1","0","430242","0","0","0","0","0.20451559126377106","0.05926811322569847","15"
"28",15870,"430241","0","0","0","0","1","3243","241","Sub","Gaëtan Charbonnier","a","0","0","0","430238","0","0","0","0","0","17"
"29",15870,"430242","0","0","0","0","8","8657","241","Sub","Jeremy Le Douaron","a","0","0","0","430240","0","0","0","0","0","17"
"30",15870,"430243","0","0","0","0","8","7734","241","Sub","Cristian Battocchio","a","0","0","0","430235","0","0","0","0","0","17"
"1",15873,"430450","0","0","0","0","90","5652","170","GK","Walter Benítez","h","0","0","0","0","0","0","0","0","0","1"
"2",15873,"430451","0","0","0","0","86","8660","170","DR","Jordan Lotomba","h","0","0","430461","0","2","0","0.10270216315984726","0.1513240784406662","0.07438796013593674","2"
"3",15873,"430452","0","0","1","0.05522068962454796","90","2387","170","DC","Danilo","h","1","0","0","0","0","0","0","0.07693612575531006","0.07693612575531006","3"
"4",15873,"430453","0","0","1","0.07586566358804703","90","6436","170","DC","Stanley N&#039;Soki","h","0","0","0","0","1","0","0.0558062344789505","0.23756979405879974","0.23756979405879974","3"
"5",15873,"430454","0","0","0","0","90","6501","170","DL","Andy Pelmard","h","0","0","0","0","0","0","0","0.12376318126916885","0.12376318126916885","4"
"6",15873,"430457","0","0","1","0.31325334310531616","65","7265","170","MC","Kephren Thuram","h","0","0","430464","0","0","0","0","0.3901894688606262","0.07693612575531006","9"
"7",15873,"430455","0","0","1","0.01682577095925808","65","8050","170","MC","Hichem Boudaoui","h","1","0","430462","0","0","0","0","0.09376189112663269","0.07693612575531006","9"
"8",15873,"430456","0","0","4","0.1845954805612564","90","5619","170","MC","Pierre Lees-Melou","h","0","0","0","0","0","0","0","0.27872246503829956","0.22099600732326508","9"
"9",15873,"430458","0","0","1","0.014824538491666317","90","1056","170","FWR","Jeff Reine-Adelaide","h","0","0","0","0","5","0","0.48330801725387573","0.563811182975769","0.21390287578105927","14"
"10",15873,"430459","1","0","5","1.3683412075042725","90","6401","170","FW","Amine Gouiri","h","1","0","0","0","3","0","0.16978606581687927","1.070888876914978","0.6080900430679321","15"
"11",15873,"430460","0","0","2","0.08121715486049652","72","5752","170","FWL","Alexis Claude Maurice","h","0","0","430463","0","0","0","0","0","0","16"
"12",15873,"430463","0","0","3","0.14854630827903748","18","8662","170","Sub","Dan Ndoye","h","0","0","0","430460","1","0","0.07438796013593674","0.3159959316253662","0.1369667500257492","17"
"13",15873,"430461","0","0","0","0","4","8682","170","Sub","Salim Ben Seghir","h","0","0","0","430451","0","0","0","0.046827055513858795","0.046827055513858795","17"
"14",15873,"430464","0","0","2","0.07607360929250717","25","8371","170","Sub","Alexis Trouillet","h","0","0","0","430457","2","0","0.07853654772043228","0.2891623377799988","0.15527455508708954","17"
"15",15873,"430462","0","0","3","0.197702094912529","25","3362","170","Sub","Rony Lopes","h","0","0","0","430455","1","0","0.05772646889090538","0.269081175327301","0.03941865265369415","17"
"16",15873,"430465","0","0","0","0","90","6733","181","GK","Anthony Racioppi","a","0","0","0","0","0","0","0","0","0","1"
"17",15873,"430466","0","0","0","0","90","7511","181","DR","Sacha Boey","a","0","0","0","0","1","0","0.03442118689417839","0.03442118689417839","0","2"
"18",15873,"430468","0","0","0","0","90","7247","181","DC","Jonathan Panzo","a","0","0","0","0","0","0","0","0.0711267814040184","0.0711267814040184","3"
"19",15873,"430467","0","0","0","0","90","4883","181","DC","Bruno Ecuele Manga","a","0","0","0","0","0","0","0","0","0","3"
"20",15873,"430469","1","0","1","0.04261711612343788","90","7998","181","DL","Ngonda Muzinga","a","1","0","0","0","0","0","0","0.04261711612343788","0","4"
"21",15873,"430471","0","0","0","0","90","2291","181","DMC","Pape Cheikh","a","1","0","0","0","0","0","0","0","0","7"
"22",15873,"430470","0","0","0","0","90","1720","181","DMC","Didier Ndong","a","0","0","0","0","0","0","0","0.0711267814040184","0.0711267814040184","7"
"23",15873,"430472","0","0","3","0.1528337001800537","68","7562","181","AMR","Eric Junior Dina Ebimbe","a","0","0","430478","0","0","0","0","0.1055479645729065","0","11"
"24",15873,"430473","0","0","2","0.15189188718795776","90","1054","181","AMC","Bersant Celina","a","0","0","0","0","1","0","0.04728573560714722","0.0830780565738678","0","12"
"25",15873,"430474","0","0","0","0","87","8023","181","AML","Mounir Chouiar","a","0","0","430476","0","0","0","0","0","0","13"
"26",15873,"430475","2","0","3","0.6426253914833069","75","7747","181","FW","Mama Baldé","a","0","0","430477","0","1","0","0.0711267814040184","0.7137521505355835","0","15"
