"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"40","14475",TRUE,80,Chelsea,CHE,74,Southampton,SOU,3,3,1.98708,1.42348,"2020-10-17 14:00:00",0.5201,0.2782,0.2017
"41","14480",TRUE,88,Manchester City,MCI,83,Arsenal,ARS,1,0,1.43023,0.838322,"2020-10-17 16:30:00",0.5302,0.2829,0.1869
"42","14481",TRUE,86,Newcastle United,NEW,89,Manchester United,MUN,1,4,0.867496,2.21729,"2020-10-17 19:00:00",0.0765,0.1952,0.7283
"43","14482",TRUE,238,Sheffield United,SHE,228,Fulham,FLH,1,1,1.66363,1.35611,"2020-10-18 11:00:00",0.4387,0.3183,0.243
"44","14476",TRUE,78,Crystal Palace,CRY,220,Brighton,BRI,1,1,0.761169,1.0935,"2020-10-18 13:00:00",0.2443,0.3704,0.3853
"45","14483",TRUE,82,Tottenham,TOT,81,West Ham,WHU,3,3,1.77602,1.49992,"2020-10-18 15:30:00",0.4284,0.2958,0.2758
"46","14479",TRUE,75,Leicester,LEI,71,Aston Villa,AVL,0,1,0.671595,0.873776,"2020-10-18 18:15:00",0.2525,0.3567,0.3908
"47","14484",TRUE,76,West Bromwich Albion,WBA,92,Burnley,BUR,0,0,0.731692,1.08532,"2020-10-19 16:30:00",0.2211,0.3288,0.4501
"48","14478",TRUE,245,Leeds,LED,229,Wolverhampton Wanderers,WOL,0,1,1.08332,0.618191,"2020-10-19 19:00:00",0.4733,0.3334,0.1933
"49","14486",TRUE,71,Aston Villa,AVL,245,Leeds,LED,0,3,1.50125,2.37695,"2020-10-23 19:00:00",0.2041,0.2113,0.5846
"50","14493",TRUE,81,West Ham,WHU,88,Manchester City,MCI,1,1,0.263739,0.892456,"2020-10-24 11:30:00",0.0966,0.3869,0.5165
"51","14489",TRUE,228,Fulham,FLH,78,Crystal Palace,CRY,1,2,1.05258,2.81049,"2020-10-24 14:00:00",0.0666,0.1314,0.802
"52","14491",TRUE,89,Manchester United,MUN,80,Chelsea,CHE,0,0,0.648427,0.219906,"2020-10-24 16:30:00",0.4197,0.4747,0.1056
"53","14490",TRUE,87,Liverpool,LIV,238,Sheffield United,SHE,2,1,2.40286,1.39788,"2020-10-24 19:00:00",0.6498,0.2161,0.1341
"54","14492",TRUE,74,Southampton,SOU,72,Everton,EVE,2,0,0.74151,0.287054,"2020-10-25 14:00:00",0.4409,0.4299,0.1292
"55","14494",TRUE,229,Wolverhampton Wanderers,WOL,86,Newcastle United,NEW,1,1,0.758626,0.253685,"2020-10-25 16:30:00",0.4507,0.4333,0.116
"56","14485",TRUE,83,Arsenal,ARS,75,Leicester,LEI,0,1,0.73944,0.736172,"2020-10-25 19:15:00",0.2978,0.379,0.3232
"57","14487",TRUE,220,Brighton,BRI,76,West Bromwich Albion,WBA,1,1,0.546807,0.295654,"2020-10-26 17:30:00",0.366,0.4803,0.1537
"58","14488",TRUE,92,Burnley,BUR,82,Tottenham,TOT,0,1,0.95045,0.797344,"2020-10-26 20:00:00",0.3729,0.3409,0.2862
"59","14504",TRUE,229,Wolverhampton Wanderers,WOL,78,Crystal Palace,CRY,2,0,1.34895,0.802767,"2020-10-30 20:00:00",0.509,0.293,0.198
"60","14502",TRUE,238,Sheffield United,SHE,88,Manchester City,MCI,0,1,0.687544,1.89643,"2020-10-31 12:30:00",0.0699,0.2127,0.7174
"61","14496",TRUE,92,Burnley,BUR,80,Chelsea,CHE,0,3,0.407341,1.23077,"2020-10-31 15:00:00",0.1035,0.2914,0.6051
"62","14499",TRUE,87,Liverpool,LIV,81,West Ham,WHU,2,1,1.56302,0.269048,"2020-10-31 17:30:00",0.7962,0.171,0.0328
"63","14495",TRUE,71,Aston Villa,AVL,74,Southampton,SOU,3,4,2.44855,1.00333,"2020-11-01 12:00:00",0.7378,0.172,0.0902
"64","14501",TRUE,86,Newcastle United,NEW,72,Everton,EVE,2,1,2.6311,1.21805,"2020-11-01 14:00:00",0.7653,0.1563,0.0784
"65","14500",TRUE,89,Manchester United,MUN,83,Arsenal,ARS,0,1,0.394113,0.998072,"2020-11-01 16:30:00",0.1004,0.3182,0.5814
"66","14503",TRUE,82,Tottenham,TOT,220,Brighton,BRI,2,1,1.97236,0.324457,"2020-11-01 19:15:00",0.8592,0.1151,0.0257
"67","14497",TRUE,228,Fulham,FLH,76,West Bromwich Albion,WBA,2,0,1.62247,0.482685,"2020-11-02 17:30:00",0.7108,0.2057,0.0835
"68","14498",TRUE,245,Leeds,LED,75,Leicester,LEI,1,4,1.74822,3.07657,"2020-11-02 20:00:00",0.1116,0.1818,0.7066
"69","14506",TRUE,220,Brighton,BRI,92,Burnley,BUR,0,0,1.59022,0.326933,"2020-11-06 17:30:00",0.7227,0.2148,0.0625
"70","14512",TRUE,74,Southampton,SOU,86,Newcastle United,NEW,2,0,0.985828,0.175633,"2020-11-06 20:00:00",0.5809,0.3577,0.0614
"71","14509",TRUE,72,Everton,EVE,89,Manchester United,MUN,1,3,0.376464,1.59642,"2020-11-07 12:30:00",0.069,0.2068,0.7242
"72","14508",TRUE,78,Crystal Palace,CRY,245,Leeds,LED,4,1,1.30169,0.847913,"2020-11-07 15:00:00",0.4854,0.292,0.2226
"73","14507",TRUE,80,Chelsea,CHE,238,Sheffield United,SHE,4,1,2.87622,0.743967,"2020-11-07 17:30:00",0.8726,0.0989,0.0285
"74","14514",TRUE,81,West Ham,WHU,228,Fulham,FLH,1,0,1.42614,1.84922,"2020-11-07 20:00:00",0.2509,0.2638,0.4853
"75","14513",TRUE,76,West Bromwich Albion,WBA,82,Tottenham,TOT,0,1,0.799352,1.87063,"2020-11-08 12:00:00",0.1207,0.2169,0.6624
"76","14510",TRUE,75,Leicester,LEI,229,Wolverhampton Wanderers,WOL,1,0,2.0545,0.57936,"2020-11-08 14:00:00",0.8134,0.144,0.0426
"77","14511",TRUE,88,Manchester City,MCI,87,Liverpool,LIV,1,1,1.58487,1.18789,"2020-11-08 16:30:00",0.4692,0.3291,0.2017
"78","14505",TRUE,83,Arsenal,ARS,71,Aston Villa,AVL,0,3,1.39037,1.98553,"2020-11-08 19:15:00",0.2332,0.2465,0.5203
"79","14521",TRUE,86,Newcastle United,NEW,80,Chelsea,CHE,0,2,0.368286,1.81923,"2020-11-21 12:30:00",0.0513,0.1759,0.7728
"80","14515",TRUE,71,Aston Villa,AVL,220,Brighton,BRI,1,2,1.76514,1.50038,"2020-11-21 15:00:00",0.4473,0.2738,0.2789
"81","14523",TRUE,82,Tottenham,TOT,88,Manchester City,MCI,2,0,0.761142,1.66325,"2020-11-21 17:30:00",0.1445,0.2444,0.6111
"82","14520",TRUE,89,Manchester United,MUN,76,West Bromwich Albion,WBA,1,0,2.42994,0.438646,"2020-11-21 20:00:00",0.8842,0.0918,0.024
"83","14517",TRUE,228,Fulham,FLH,72,Everton,EVE,2,3,1.87028,2.2508,"2020-11-22 12:00:00",0.2729,0.2637,0.4634
"84","14522",TRUE,238,Sheffield United,SHE,81,West Ham,WHU,0,1,0.692374,2.1142,"2020-11-22 14:00:00",0.0757,0.1728,0.7515
"85","14518",TRUE,245,Leeds,LED,83,Arsenal,ARS,0,0,1.9617,0.710778,"2020-11-22 16:30:00",0.6937,0.2006,0.1057
"86","14519",TRUE,87,Liverpool,LIV,75,Leicester,LEI,3,0,3.77245,1.98397,"2020-11-22 19:15:00",0.7591,0.1383,0.1026
"87","14516",TRUE,92,Burnley,BUR,78,Crystal Palace,CRY,1,0,1.75343,1.28331,"2020-11-23 17:30:00",0.4942,0.2612,0.2446
"88","14524",TRUE,229,Wolverhampton Wanderers,WOL,74,Southampton,SOU,1,1,1.57479,1.0785,"2020-11-23 20:00:00",0.4908,0.2832,0.226
"89","14530",TRUE,78,Crystal Palace,CRY,86,Newcastle United,NEW,0,2,0.534893,1.27929,"2020-11-27 20:00:00",0.1382,0.2907,0.5711
"90","14528",TRUE,220,Brighton,BRI,87,Liverpool,LIV,1,1,2.30722,0.28109,"2020-11-28 12:30:00",0.9205,0.0683,0.0112
"91","14533",TRUE,88,Manchester City,MCI,92,Burnley,BUR,5,0,2.26129,0.419877,"2020-11-28 15:00:00",0.8292,0.1283,0.0425
"92","14531",TRUE,72,Everton,EVE,245,Leeds,LED,0,1,1.29229,3.11324,"2020-11-28 17:30:00",0.077,0.1377,0.7853
"93","14527",TRUE,76,West Bromwich Albion,WBA,238,Sheffield United,SHE,1,0,1.71644,3.36544,"2020-11-28 20:00:00",0.112,0.1416,0.7464
"94","14534",TRUE,74,Southampton,SOU,89,Manchester United,MUN,2,3,0.498783,2.47547,"2020-11-29 14:00:00",0.0381,0.1118,0.8501
"95","14529",TRUE,80,Chelsea,CHE,82,Tottenham,TOT,0,0,0.974755,0.22689,"2020-11-29 16:30:00",0.5514,0.3637,0.0849
