"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"38","15177",TRUE,240,Union Berlin,UNI,135,Freiburg,FRE,1,1,1.28488,0.271576,"2020-10-24 13:30:00",0.6991,0.2481,0.0528
"39","15178",TRUE,125,Mainz 05,MAI,130,Borussia M.Gladbach,BMG,2,3,1.90042,3.07629,"2020-10-24 13:30:00",0.1678,0.1842,0.648
"40","15179",TRUE,136,RasenBallsport Leipzig,RBL,122,Hertha Berlin,HER,2,1,2.68523,0.802136,"2020-10-24 13:30:00",0.8265,0.1225,0.051
"41","15180",TRUE,117,Bayern Munich,BAY,132,Eintracht Frankfurt,EIN,5,0,3.80823,0.429229,"2020-10-24 13:30:00",0.9632,0.0304,0.0064
"42","15181",TRUE,129,Borussia Dortmund,DOR,124,Schalke 04,SCH,3,0,1.48384,0.236172,"2020-10-24 16:30:00",0.7236,0.227,0.0494
"43","15182",TRUE,131,Wolfsburg,WOL,262,Arminia Bielefeld,,2,1,2.77748,0.664903,"2020-10-25 14:30:00",0.8572,0.1036,0.0392
"44","15183",TRUE,123,Werder Bremen,WER,120,Hoffenheim,HOF,1,1,0.229596,0.870978,"2020-10-25 17:00:00",0.0865,0.3941,0.5194
"45","15184",TRUE,119,Bayer Leverkusen,LEV,121,Augsburg,AUG,3,1,2.6291,0.342366,"2020-10-26 19:30:00",0.9318,0.057,0.0112
"46","15185",TRUE,124,Schalke 04,SCH,133,VfB Stuttgart,STU,1,1,0.726659,1.56968,"2020-10-30 19:30:00",0.1176,0.2734,0.609
"47","15186",TRUE,134,FC Cologne,COL,117,Bayern Munich,BAY,1,2,0.681548,0.992927,"2020-10-31 14:30:00",0.181,0.3682,0.4508
"48","15187",TRUE,121,Augsburg,AUG,125,Mainz 05,MAI,3,1,1.78716,1.01141,"2020-10-31 14:30:00",0.5823,0.2615,0.1562
"49","15188",TRUE,262,Arminia Bielefeld,,129,Borussia Dortmund,DOR,0,2,0.255813,2.75909,"2020-10-31 14:30:00",0.012,0.0585,0.9295
"50","15189",TRUE,132,Eintracht Frankfurt,EIN,123,Werder Bremen,WER,1,1,2.49235,0.733652,"2020-10-31 14:30:00",0.7994,0.1367,0.0639
"51","15190",TRUE,130,Borussia M.Gladbach,BMG,136,RasenBallsport Leipzig,RBL,1,0,0.615287,0.695278,"2020-10-31 17:30:00",0.2783,0.4078,0.3139
"52","15191",TRUE,135,Freiburg,FRE,119,Bayer Leverkusen,LEV,2,4,1.18284,1.34088,"2020-11-01 14:30:00",0.3133,0.3021,0.3846
"53","15192",TRUE,122,Hertha Berlin,HER,131,Wolfsburg,WOL,1,1,1.25246,0.397923,"2020-11-01 17:00:00",0.6006,0.2877,0.1117
"54","15193",TRUE,120,Hoffenheim,HOF,240,Union Berlin,UNI,1,3,1.49329,3.66229,"2020-11-02 19:30:00",0.0366,0.0897,0.8737
"55","15194",TRUE,123,Werder Bremen,WER,134,FC Cologne,COL,1,1,1.35118,0.399372,"2020-11-06 19:30:00",0.6835,0.2477,0.0688
"56","15195",TRUE,133,VfB Stuttgart,STU,132,Eintracht Frankfurt,EIN,2,2,2.0858,3.48931,"2020-11-07 14:30:00",0.1403,0.1628,0.6969
"57","15196",TRUE,136,RasenBallsport Leipzig,RBL,135,Freiburg,FRE,3,0,2.43212,0.577152,"2020-11-07 14:30:00",0.8537,0.1115,0.0348
"58","15197",TRUE,240,Union Berlin,UNI,262,Arminia Bielefeld,,5,0,2.25166,0.259002,"2020-11-07 14:30:00",0.9102,0.0783,0.0115
"59","15198",TRUE,125,Mainz 05,MAI,124,Schalke 04,SCH,2,2,3.36371,1.70687,"2020-11-07 14:30:00",0.7696,0.1416,0.0888
"60","15199",TRUE,121,Augsburg,AUG,122,Hertha Berlin,HER,0,3,0.350601,2.51682,"2020-11-07 14:30:00",0.017,0.0754,0.9076
"61","15200",TRUE,129,Borussia Dortmund,DOR,117,Bayern Munich,BAY,2,3,2.30881,1.33621,"2020-11-07 17:30:00",0.625,0.2063,0.1687
"62","15201",TRUE,131,Wolfsburg,WOL,120,Hoffenheim,HOF,2,1,2.65255,2.63695,"2020-11-08 14:30:00",0.3995,0.2272,0.3733
"63","15202",TRUE,119,Bayer Leverkusen,LEV,130,Borussia M.Gladbach,BMG,4,3,1.53904,3.02085,"2020-11-08 17:00:00",0.1004,0.164,0.7356
"64","15203",TRUE,117,Bayern Munich,BAY,123,Werder Bremen,WER,1,1,1.6736,1.63104,"2020-11-21 14:30:00",0.3629,0.2812,0.3559
"65","15204",TRUE,130,Borussia M.Gladbach,BMG,121,Augsburg,AUG,1,1,1.70506,0.813971,"2020-11-21 14:30:00",0.6089,0.2531,0.138
"66","15205",TRUE,120,Hoffenheim,HOF,133,VfB Stuttgart,STU,3,3,1.75486,1.45618,"2020-11-21 14:30:00",0.4539,0.2669,0.2792
"67","15206",TRUE,124,Schalke 04,SCH,131,Wolfsburg,WOL,0,2,1.00376,2.66289,"2020-11-21 14:30:00",0.0765,0.1455,0.778
"68","15207",TRUE,262,Arminia Bielefeld,,119,Bayer Leverkusen,LEV,1,2,0,1.32693,"2020-11-21 14:30:00",0,0.1552,0.8448
"69","15208",TRUE,132,Eintracht Frankfurt,EIN,136,RasenBallsport Leipzig,RBL,1,1,0.888746,0.911677,"2020-11-21 17:30:00",0.328,0.3481,0.3239
"70","15209",TRUE,122,Hertha Berlin,HER,129,Borussia Dortmund,DOR,2,5,1.20761,2.83449,"2020-11-21 19:30:00",0.0794,0.1518,0.7688
"71","15210",TRUE,135,Freiburg,FRE,125,Mainz 05,MAI,1,3,1.47979,3.20461,"2020-11-22 14:30:00",0.1038,0.1454,0.7508
"72","15211",TRUE,134,FC Cologne,COL,240,Union Berlin,UNI,1,2,1.08472,1.89238,"2020-11-22 17:00:00",0.127,0.2737,0.5993
"73","15216",TRUE,131,Wolfsburg,WOL,123,Werder Bremen,WER,5,3,1.53686,0.860897,"2020-11-27 19:30:00",0.5387,0.2991,0.1622
"74","15212",TRUE,129,Borussia Dortmund,DOR,134,FC Cologne,COL,1,2,2.76041,1.59253,"2020-11-28 14:30:00",0.6635,0.2145,0.122
"75","15213",TRUE,136,RasenBallsport Leipzig,RBL,262,Arminia Bielefeld,,2,1,2.84171,1.76313,"2020-11-28 14:30:00",0.6394,0.1947,0.1659
"76","15217",TRUE,240,Union Berlin,UNI,132,Eintracht Frankfurt,EIN,3,3,1.95856,1.33746,"2020-11-28 14:30:00",0.5428,0.2573,0.1999
"77","15219",TRUE,121,Augsburg,AUG,135,Freiburg,FRE,1,1,0.385539,0.470106,"2020-11-28 14:30:00",0.2166,0.5009,0.2825
"78","15220",TRUE,133,VfB Stuttgart,STU,117,Bayern Munich,BAY,1,3,1.38666,0.889035,"2020-11-28 14:30:00",0.4928,0.2889,0.2183
"79","15214",TRUE,130,Borussia M.Gladbach,BMG,124,Schalke 04,SCH,4,1,3.15544,0.734533,"2020-11-28 17:30:00",0.8946,0.0772,0.0282
"80","15215",TRUE,119,Bayer Leverkusen,LEV,122,Hertha Berlin,HER,0,0,1.04196,0.517533,"2020-11-29 14:30:00",0.4879,0.3483,0.1638
