"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"41","15466",TRUE,107,Atalanta,ATA,102,Sampdoria,SAM,1,3,2.09742,2.49916,"2020-10-24 13:00:00",0.2696,0.245,0.4854
"42","15470",TRUE,101,Genoa,GEN,106,Inter,INT,0,2,0.0128508,1.63844,"2020-10-24 16:00:00",0.0018,0.1161,0.8821
"43","15472",TRUE,96,Lazio,LAZ,97,Bologna,BOL,2,1,1.42977,1.75593,"2020-10-24 18:45:00",0.2874,0.2646,0.448
"44","15468",TRUE,116,Cagliari,CAG,115,Crotone,CRO,4,2,2.08322,1.40714,"2020-10-25 11:30:00",0.5478,0.2381,0.2141
"45","15467",TRUE,222,Benevento,BEN,105,Napoli,NAP,1,2,0.650046,2.26936,"2020-10-25 14:00:00",0.0633,0.1599,0.7768
"46","15474",TRUE,230,Parma Calcio 1913,PAR,260,Spezia,,2,2,3.67014,0.965076,"2020-10-25 14:00:00",0.9102,0.0615,0.0283
"47","15469",TRUE,110,Fiorentina,FIO,99,Udinese,UDI,3,2,1.20434,2.6861,"2020-10-25 17:00:00",0.0645,0.1673,0.7682
"48","15471",TRUE,98,Juventus,JUV,94,Verona,VER,1,1,2.17723,0.599908,"2020-10-25 19:45:00",0.7667,0.1663,0.067
"49","15473",TRUE,111,AC Milan,MIL,95,Roma,ROM,3,3,2.81817,2.35903,"2020-10-26 19:45:00",0.4821,0.2365,0.2814
"50","15477",TRUE,115,Crotone,CRO,107,Atalanta,ATA,1,2,0.524608,3.49595,"2020-10-31 14:00:00",0.01,0.0419,0.9481
"51","15478",TRUE,106,Inter,INT,230,Parma Calcio 1913,PAR,2,2,3.0518,0.760875,"2020-10-31 17:00:00",0.8768,0.0923,0.0309
"52","15476",TRUE,97,Bologna,BOL,116,Cagliari,CAG,3,2,1.46614,1.26683,"2020-10-31 19:45:00",0.4093,0.2675,0.3232
"53","15484",TRUE,99,Udinese,UDI,111,AC Milan,MIL,1,2,0.956217,1.02378,"2020-11-01 11:30:00",0.309,0.3707,0.3203
"54","15482",TRUE,260,Spezia,,98,Juventus,JUV,1,4,0.546346,2.88171,"2020-11-01 14:00:00",0.0198,0.0643,0.9159
"55","15483",TRUE,113,Torino,TOR,96,Lazio,LAZ,3,4,2.4688,1.75598,"2020-11-01 14:00:00",0.5619,0.2437,0.1944
"56","15479",TRUE,105,Napoli,NAP,104,Sassuolo,SAS,0,2,2.14387,1.52493,"2020-11-01 17:00:00",0.5119,0.2614,0.2267
"57","15480",TRUE,95,Roma,ROM,110,Fiorentina,FIO,2,0,3.6279,0.37308,"2020-11-01 17:00:00",0.9729,0.0232,0.0039
"58","15481",TRUE,102,Sampdoria,SAM,101,Genoa,GEN,1,1,0.858208,1.18373,"2020-11-01 19:45:00",0.2449,0.3115,0.4436
"59","15485",TRUE,94,Verona,VER,222,Benevento,BEN,3,1,2.51742,1.60386,"2020-11-02 19:45:00",0.6077,0.2066,0.1857
"60","15448",TRUE,101,Genoa,GEN,113,Torino,TOR,1,2,1.18572,0.444269,"2020-11-04 18:00:00",0.5602,0.3092,0.1306
"61","15494",TRUE,104,Sassuolo,SAS,99,Udinese,UDI,0,0,0.0834694,0.0917939,"2020-11-06 19:45:00",0.0737,0.8439,0.0824
"62","15489",TRUE,116,Cagliari,CAG,102,Sampdoria,SAM,2,0,1.89967,0.134345,"2020-11-07 14:00:00",0.8884,0.1009,0.0107
"63","15487",TRUE,222,Benevento,BEN,260,Spezia,,0,3,0.251291,1.45194,"2020-11-07 17:00:00",0.0528,0.2216,0.7256
"64","15493",TRUE,230,Parma Calcio 1913,PAR,110,Fiorentina,FIO,0,0,0.131692,0.814627,"2020-11-07 19:45:00",0.0544,0.3935,0.5521
"65","15491",TRUE,96,Lazio,LAZ,98,Juventus,JUV,1,1,1.07713,1.27201,"2020-11-08 11:30:00",0.29,0.2961,0.4139
"66","15486",TRUE,107,Atalanta,ATA,106,Inter,INT,1,1,0.955473,0.815144,"2020-11-08 14:00:00",0.3608,0.3674,0.2718
"67","15490",TRUE,101,Genoa,GEN,95,Roma,ROM,1,3,0.64745,3.49225,"2020-11-08 14:00:00",0.0155,0.0543,0.9302
