"","player_id","xG_sum_l","xG_sum_r","xG_sum_h","goal_count_l","goal_count_r","goal_count_h","shots_count_l","shots_count_r","shots_count_h","player","difference_shots","difference_goals","difference","xG_sum","goal_sum","shot_sum","goal_for_shot"
"1",8,0.0176347624510527,0.0219424422830343,0,0,0,0,1,1,0,"Jérôme Gondorf",0.492857142857143,0.285714285714286,0.0129717071325647,0.039577204734087,0,2,Inf
"2",21,0.0924672335386276,0.101923679001629,0.0200011916458607,0,0,0,1,2,1,"Sebastian Langkamp",0.5,0.285714285714286,0.0129717071325647,0.214392104186118,0,4,Inf
"3",22,0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"4",27,0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"5",29,0.98768924176693,3.99965705163777,1.35499599575996,1,4,2,3,19,6,"Vedad Ibisevic",0.607142857142857,0.392857142857143,0.191085178251657,6.34234228916466,7,28,4
"6",38,0.360710267908871,1.78882290050387,0,1,1,0,2,22,0,"Daniel Brosinski",0.635714285714286,0.285714285714286,0.273330829864224,2.14953316841274,2,24,12
"7",42,0.836203292012215,0.548577835783362,0.7666185060516,1,1,0,3,4,10,"Julian Baumgartlinger",0.5,0.285714285714286,0.0850611720770429,2.15139963384718,2,17,8.5
"8",43,0.0865331329405308,0.906905362382531,0.122464798390865,0,0,0,3,11,2,"Danny Latza",0.55,0.285714285714286,0.110830314323795,1.11590329371393,0,16,Inf
"9",45,0.478314645588398,0.627672066912055,0.139882888644934,0,0,0,3,7,2,"Yunus Malli",0.521428571428571,0.285714285714286,0.0594438298277764,1.24586960114539,0,12,Inf
"10",48,2.32411566562951,3.65596134960651,2.35460420511663,4,6,3,11,31,18,"Jhon Córdoba",0.635714285714286,0.357142857142857,0.228021802583232,8.33468122035265,13,60,4.61538461538461
"11",60,1.18603128567338,0.688432606868446,0.957379501312971,2,1,0,11,16,8,"Christian Gentner",0.528571428571429,0.25,0.0908019499279531,2.8318433938548,3,35,11.6666666666667
"12",62,0.0829380620270967,0.0284304618835449,0.0695086847990751,0,0,0,2,1,2,"Lukas Rupp",0.485714285714286,0.285714285714286,0.0129717071325647,0.180877208709717,0,5,Inf
"13",64,4.15352778881788,1.5064166970551,0.0199970938265324,2,2,0,78,9,1,"Filip Kostic",0,0.285714285714286,0.951189731211342,5.67994157969952,4,88,22
"14",65,4.13316068798304,18.3303203368559,0.985015148296952,5,23,0,21,92,10,"Timo Werner",1,0.928571428571429,1,23.4484961731359,28,123,4.39285714285714
"15",74,0.17260430753231,1.52439193800092,1.3434345703572,0,1,1,2,13,13,"Pavel Kaderábek",0.571428571428571,0.321428571428571,0.142688778458212,3.04043081589043,2,28,14
"16",81,0.446373353712261,2.55073330365121,0,1,4,0,6,37,0,"Jonathan Schmid",0.714285714285714,0.392857142857143,0.446158844985477,2.99710665736347,5,43,8.6
"17",82,0.667107289656997,1.60416421713307,0,0,1,0,6,36,0,"Nadiem Amiri",0.707142857142857,0.321428571428571,0.433340452186571,2.27127150679007,1,42,42
"18",83,4.54449972510338,3.95997497998178,3.32391787320375,4,4,2,43,20,14,"Kevin Volland",0.328571428571429,0.285714285714286,0.343933751921675,11.8283925782889,10,77,7.7
"19",88,4.64387584850192,1.88058096915483,1.30524199455976,4,1,0,33,8,10,"Mark Uth",0.314285714285714,0.178571428571429,0.312130649977257,7.82969881221652,5,51,10.2
"20",90,0.0495399031788111,0.865987142082304,0.0719580799341202,1,0,0,2,22,1,"Sebastian Rudy",0.635714285714286,0.25,0.266157177768712,0.987485125195235,1,25,25
"21",98,1.37337334826589,2.03377331793308,0.817094697616994,1,4,1,11,16,5,"Kenan Karaman",0.528571428571429,0.392857142857143,0.123742199430533,4.22424136381596,6,32,5.33333333333333
"22",114,0.0135187674313784,0.0757969859987497,0.0642045801505446,0,0,0,1,2,2,"Philipp Bargfrede",0.5,0.285714285714286,0.0129717071325647,0.153520333580673,0,5,Inf
"23",115,0.0786538273096085,0.137398594990373,0.016286663711071,0,0,0,1,5,1,"Fin Bartels",0.521428571428571,0.285714285714286,0.0518868285302589,0.232339086011052,0,7,Inf
"24",116,0.0708486810326576,0.783255439251661,0.253616578876972,0,0,0,1,13,3,"Florian Grillitsch",0.578571428571429,0.285714285714286,0.144446817395524,1.10772069916129,0,17,Inf
"25",118,1.13901846203953,0.439691156148911,0.923086225986481,1,2,1,22,12,1,"Levin Öztunali",0.421428571428571,0.321428571428571,0.235999526575443,2.50179584417492,4,35,8.75
"26",119,0.287123849615455,1.5087841777131,0.414748496375978,1,1,1,4,11,4,"Anthony Ujah",0.542857142857143,0.285714285714286,0.0908019499279531,2.21065652370453,3,19,6.33333333333333
"27",120,0.228199377655983,0.118496485985816,0,0,0,0,1,4,0,"Felix Kroos",0.514285714285714,0.285714285714286,0.0467701551967641,0.346695863641798,0,5,Inf
"28",125,0.964703389443457,1.32664920948446,0.321029186248779,0,1,0,22,22,1,"Maximilian Eggestein",0.492857142857143,0.321428571428571,0.272405849783859,2.61238178517669,1,45,45
"29",129,0.102600047364831,0.0693475678563118,0,0,0,0,3,1,0,"Dominique Heintz",0.478571428571429,0.285714285714286,0.034319911152729,0.171947615221143,0,4,Inf
