"","player_id","X.1","match_id","id","minute","result","X","Y","xG","player.x","h_a","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","xG_sum_l","xG_sum_r","xG_sum_h","goal_count_l","goal_count_r","goal_count_h","shots_count_l","shots_count_r","shots_count_h","player.y","difference_shots","difference_goals","difference","xG_sum","goal_sum","shot_sum","goal_for_shot"
"13",22,9,12674,364186,53,"BlockedShot",0.856999969482422,0.527000007629395,0.0561779141426086,"John Brooks","h","FromCorner",2019,"RightFoot",12674,"Wolfsburg","Freiburg",2,2,"2020-06-13 13:30:00","Wout Weghorst","BallTouch",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"14",22,8,12519,334527,35,"MissedShots",0.91,0.482000007629395,0.0855799913406372,"John Brooks","h","FromCorner",2019,"Head",12519,"Wolfsburg","Werder Bremen",2,3,"2019-12-01 17:00:00","Admir Mehmedi","Cross",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"15",22,7,12640,363208,74,"MissedShots",0.86,0.627000007629395,0.0537105873227119,"John Brooks","h","SetPiece",2019,"RightFoot",12640,"Wolfsburg","Borussia Dortmund",0,2,"2020-05-23 13:30:00",NA,"None",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"16",22,12,12674,364189,59,"SavedShot",0.910999984741211,0.37,0.0392473936080933,"John Brooks","h","SetPiece",2019,"Head",12674,"Wolfsburg","Freiburg",2,2,"2020-06-13 13:30:00","Maximilian Arnold","Chipped",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"17",22,7,12541,338147,12,"SavedShot",0.93,0.475999984741211,0.139637246727943,"John Brooks","h","FromCorner",2019,"LeftFoot",12541,"Wolfsburg","Schalke 04",1,1,"2019-12-18 19:30:00",NA,"Rebound",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"18",22,22,12484,329028,49,"MissedShots",0.915999984741211,0.400999984741211,0.0542873479425907,"John Brooks","a","FromCorner",2019,"RightFoot",12484,"Borussia Dortmund","Wolfsburg",3,0,"2019-11-02 14:30:00","William","Cross",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"19",22,3,12622,361672,6,"MissedShots",0.913000030517578,0.512999992370605,0.0927942469716072,"John Brooks","h","FromCorner",2019,"Head",12622,"Wolfsburg","RasenBallsport Leipzig",0,0,"2020-03-07 14:30:00","Josip Brekalo","Cross",0.139637246727943,0.164175849407911,0.604754206724465,0,0,0,1,3,9,"John Brooks",0.507142857142857,0.285714285714286,0.0935403103935281,0.90856730286032,0,13,Inf
"20",23,12,12641,363130,64,"BlockedShot",0.864000015258789,0.673000030517578,0.0709270611405373,"Marvin Plattenhardt","h","OpenPlay",2019,"LeftFoot",12641,"Hertha Berlin","Union Berlin",4,0,"2020-05-22 18:30:00","Matheus Cunha","Pass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",23,26,12431,317235,89,"BlockedShot",0.815,0.554000015258789,0.154348060488701,"Marvin Plattenhardt","a","DirectFreekick",2019,"LeftFoot",12431,"Mainz 05","Hertha Berlin",2,1,"2019-09-14 13:30:00",NA,"Standard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",23,4,12482,327021,33,"MissedShots",0.738000030517578,0.67,0.0163157675415277,"Marvin Plattenhardt","h","OpenPlay",2019,"LeftFoot",12482,"Hertha Berlin","Hoffenheim",2,3,"2019-10-26 14:30:00","Vladimir Darida","Pass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,16,12533,336940,88,"MissedShots",0.783000030517578,0.457000007629395,0.102114833891392,"Marvin Plattenhardt","h","DirectFreekick",2019,"LeftFoot",12533,"Hertha Berlin","Freiburg",1,0,"2019-12-14 14:30:00",NA,"Standard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,3,12578,356518,46,"MissedShots",0.888000030517578,0.377000007629395,0.0155383124947548,"Per Skjelbred","h","OpenPlay",2019,"Head",12578,"Hertha Berlin","Schalke 04",0,0,"2020-01-31 19:30:00","Marius Wolf","Cross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",26,1,12420,313177,11,"MissedShots",0.930999984741211,0.532999992370605,0.353062778711319,"Salomon Kalou","h","OpenPlay",2019,"Head",12420,"Hertha Berlin","Wolfsburg",0,3,"2019-08-25 17:00:00","Vladimir Darida","Cross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
