"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","15168","1481024","135","123","2020-10-17 13:30:00","3","2020","1","1","Freiburg","Werder Bremen","1.05894","1.6646","0.2016","0.2555","0.5429","Bundesliga","20","13","4","4","14","2","13.5217","9.0476"
"1","15169","1481025","122","133","2020-10-17 13:30:00","3","2020","0","2","Hertha Berlin","VfB Stuttgart","1.42805","1.40822","0.3483","0.2939","0.3578","Bundesliga","15","7","4","2","10","1","13.1600","5.4000"
"1","15170","1481029","121","136","2020-10-17 13:30:00","3","2020","0","2","Augsburg","RasenBallsport Leipzig","0.550472","2.39694","0.0332","0.1148","0.852","Bundesliga","5","15","2","5","1","19","6.2222","23.4667"
"1","15171","1481027","125","119","2020-10-17 13:30:00","3","2020","0","1","Mainz 05","Bayer Leverkusen","0.214962","0.454109","0.1276","0.5568","0.3156","Bundesliga","6","9","0","5","3","2","14.5333","8.6818"
"1","15172","1481030","262","117","2020-10-17 16:30:00","3","2020","1","4","Arminia Bielefeld","Bayern Munich","1.21235","3.29447","0.0544","0.1083","0.8373","Bundesliga","11","17","5","9","4","16","7.4333","34.6667"
"1","15173","1481022","130","131","2020-10-17 18:30:00","3","2020","1","1","Borussia M.Gladbach","Wolfsburg","2.11077","1.34469","0.5864","0.2255","0.1881","Bundesliga","13","15","2","6","6","4","9.3704","8.1333"
"1","15174","1481028","134","132","2020-10-18 13:30:00","3","2020","1","1","FC Cologne","Eintracht Frankfurt","1.41695","1.54892","0.3073","0.3044","0.3883","Bundesliga","9","17","5","4","4","10","8.8095","7.5294"
"1","15175","1481026","124","240","2020-10-18 16:00:00","3","2020","1","1","Schalke 04","Union Berlin","0.250814","0.831403","0.0949","0.3853","0.5198","Bundesliga","8","11","4","6","1","2","21.3333","12.8000"
"1","15176","1481039","133","134","2020-10-23 18:30:00","3","2020","1","1","VfB Stuttgart","FC Cologne","0.722179","2.37516","0.0508","0.1333","0.8159","Bundesliga","9","15","4","4","4","3","16.9048","11.9474"
"1","15177","1481036","240","135","2020-10-24 13:30:00","3","2020","1","1","Union Berlin","Freiburg","1.28488","0.271576","0.6991","0.2481","0.0528","Bundesliga","18","8","7","4","1","1","10.6364","13.8235"
"1","15178","1481037","125","130","2020-10-24 13:30:00","3","2020","2","3","Mainz 05","Borussia M.Gladbach","1.90042","3.07629","0.1678","0.1842","0.648","Bundesliga","15","22","7","11","13","7","6.0645","13.8966"
"1","15179","1481033","136","122","2020-10-24 13:30:00","3","2020","2","1","RasenBallsport Leipzig","Hertha Berlin","2.68523","0.802136","0.8265","0.1225","0.051","Bundesliga","26","9","8","2","18","6","9.3333","5.8500"
"1","15180","1481031","117","132","2020-10-24 13:30:00","3","2020","5","0","Bayern Munich","Eintracht Frankfurt","3.80823","0.429229","0.9632","0.0304","0.0064","Bundesliga","20","8","9","2","12","1","16.9091","10.0000"
"1","15181","1481032","129","124","2020-10-24 16:30:00","3","2020","3","0","Borussia Dortmund","Schalke 04","1.48384","0.236172","0.7236","0.227","0.0494","Bundesliga","18","3","7","0","16","1","18.0769","9.2941"
"1","15182","1481035","131","262","2020-10-25 14:30:00","3","2020","2","1","Wolfsburg","Arminia Bielefeld","2.77748","0.664903","0.8572","0.1036","0.0392","Bundesliga","14","9","4","1","12","3","10.7143","13.3478"
"1","15183","1481038","123","120","2020-10-25 17:00:00","3","2020","1","1","Werder Bremen","Hoffenheim","0.229596","0.870978","0.0865","0.3941","0.5194","Bundesliga","5","14","2","4","1","5","12.9130","16.0625"
