"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14164","1491983","147","261","2020-10-01 17:00:00","4","2020","0","1","Athletic Club","Cadiz","0.545027","0.263675","0.3502","0.5039","0.1459","La liga","13","3","4","1","5","4","11.5714","4.4000"
"1","14171","1491991","138","151","2020-10-01 17:00:00","4","2020","1","0","Sevilla","Levante","1.04729","0.375244","0.5345","0.3457","0.1198","La liga","16","3","2","1","8","0","13.0800","6.5000"
"1","14165","1491984","152","148","2020-10-01 19:30:00","4","2020","0","3","Celta Vigo","Barcelona","0.568201","0.931689","0.1884","0.3559","0.4557","La liga","10","7","3","4","5","7","11.2778","7.6486"
"1","14823","1492007","231","156","2020-10-03 11:00:00","4","2020","1","2","Real Valladolid","Eibar","1.09473","1.6913","0.161","0.3067","0.5323","La liga","9","11","3","5","3","2","7.6818","8.0000"
"1","14816","1492053","143","154","2020-10-03 14:00:00","4","2020","0","0","Atletico Madrid","Villarreal","0.610002","0.201508","0.4048","0.4952","0.1","La liga","13","6","0","2","8","7","15.1429","10.7742"
"1","14821","1492003","140","142","2020-10-03 16:30:00","4","2020","3","0","Real Sociedad","Getafe","2.19684","0.315862","0.8819","0.0968","0.0213","La liga","11","5","6","1","1","1","7.2667","4.3529"
"1","14824","1492009","207","232","2020-10-03 16:30:00","4","2020","0","0","Elche","SD Huesca","0.188885","1.70374","0.0251","0.1627","0.8122","La liga","2","18","0","4","0","12","7.7174","10.3913"
"1","14822","1492005","146","153","2020-10-03 19:00:00","4","2020","0","2","Valencia","Real Betis","0.475219","1.87508","0.0536","0.1863","0.7601","La liga","5","17","2","8","3","7","8.1000","9.8500"
"1","14820","1492001","157","152","2020-10-04 10:00:00","4","2020","2","0","Osasuna","Celta Vigo","1.12188","0.360866","0.6017","0.3005","0.0978","La liga","13","9","5","3","6","8","5.5238","7.1429"
"1","14815","1492052","158","147","2020-10-04 12:00:00","4","2020","1","0","Alaves","Athletic Club","0.520642","0.487749","0.2885","0.4537","0.2578","La liga","8","8","3","0","3","4","4.8462","9.8400"
