"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"42","14215",TRUE,175,Saint-Etienne,SEN,163,Rennes,REN,0,3,0.200419,1.37167,"2020-09-26 15:00:00",0.0415,0.2363,0.7222
"43","14216",TRUE,164,Marseille,MAR,180,Metz,MET,1,1,0.864412,1.10713,"2020-09-26 19:00:00",0.2725,0.3136,0.4139
"44","14217",TRUE,176,Bordeaux,BOR,170,Nice,NIC,0,0,1.17944,0.645309,"2020-09-27 11:00:00",0.5024,0.3101,0.1875
"45","14218",TRUE,181,Dijon,DJN,166,Montpellier,MPL,2,2,1.60909,2.31217,"2020-09-27 13:00:00",0.2205,0.2268,0.5527
"46","14219",TRUE,167,Angers,ANG,241,Brest,BRE,3,2,1.11753,2.36408,"2020-09-27 13:00:00",0.115,0.1911,0.6939
"47","14220",TRUE,171,Monaco,MON,225,Strasbourg,STR,3,2,1.56306,1.40652,"2020-09-27 13:00:00",0.3866,0.2964,0.317
"48","14221",TRUE,235,Nimes,NIM,210,Lens,LEN,1,1,0.370624,1.37195,"2020-09-27 13:00:00",0.089,0.2547,0.6563
"49","14222",TRUE,179,Lorient,LOR,178,Lyon,LYO,1,1,0.299841,0.818784,"2020-09-27 15:00:00",0.128,0.3973,0.4747
"50","14223",TRUE,177,Reims,REI,161,Paris Saint Germain,PSG,0,2,0.208814,3.93633,"2020-09-27 19:00:00",0.0033,0.017,0.9797
"51","15806",TRUE,161,Paris Saint Germain,PSG,167,Angers,ANG,6,1,2.9145,0.943753,"2020-10-02 19:00:00",0.8223,0.1224,0.0553
"52","15807",TRUE,210,Lens,LEN,175,Saint-Etienne,SEN,2,0,2.13387,0.0932933,"2020-10-03 15:00:00",0.9306,0.0655,0.0039
"53","15808",TRUE,170,Nice,NIC,168,Nantes,NAN,2,1,1.9654,1.13528,"2020-10-03 19:00:00",0.5793,0.2598,0.1609
"54","15809",TRUE,166,Montpellier,MPL,235,Nimes,NIM,0,1,0.686408,0.588829,"2020-10-04 11:00:00",0.3258,0.3996,0.2746
"55","15810",TRUE,180,Metz,MET,179,Lorient,LOR,3,1,1.60054,0.853711,"2020-10-04 13:00:00",0.5734,0.2888,0.1378
"56","15811",TRUE,176,Bordeaux,BOR,181,Dijon,DJN,3,0,1.50071,0.237758,"2020-10-04 13:00:00",0.7543,0.2037,0.042
"57","15812",TRUE,241,Brest,BRE,171,Monaco,MON,1,0,0.732353,1.53192,"2020-10-04 13:00:00",0.1489,0.2696,0.5815
"58","15813",TRUE,225,Strasbourg,STR,160,Lille,LIL,0,3,0.844783,1.95685,"2020-10-04 13:00:00",0.1061,0.1995,0.6944
"59","15814",TRUE,163,Rennes,REN,177,Reims,REI,2,2,2.09357,1.0506,"2020-10-04 15:00:00",0.634,0.2226,0.1434
"60","15815",TRUE,178,Lyon,LYO,164,Marseille,MAR,1,1,3.14327,0.376941,"2020-10-04 19:00:00",0.9494,0.0436,0.007
"61","15817",TRUE,181,Dijon,DJN,163,Rennes,REN,1,1,1.10593,0.769376,"2020-10-16 17:00:00",0.443,0.3265,0.2305
"62","15822",TRUE,235,Nimes,NIM,161,Paris Saint Germain,PSG,0,4,0.138218,4.12316,"2020-10-16 19:00:00",0.0003,0.0044,0.9953
"63","15823",TRUE,177,Reims,REI,179,Lorient,LOR,1,3,0.273331,2.81036,"2020-10-17 15:00:00",0.0042,0.0258,0.97
"64","15819",TRUE,164,Marseille,MAR,176,Bordeaux,BOR,3,1,0.977647,0.508148,"2020-10-17 19:00:00",0.5237,0.3425,0.1338
"65","15825",TRUE,225,Strasbourg,STR,178,Lyon,LYO,2,3,1.92587,4.16498,"2020-10-18 11:00:00",0.0518,0.0956,0.8526
"66","15816",TRUE,167,Angers,ANG,180,Metz,MET,1,1,1.09118,1.16356,"2020-10-18 13:00:00",0.2311,0.4759,0.293
"67","15820",TRUE,171,Monaco,MON,166,Montpellier,MPL,1,1,1.80187,0.109095,"2020-10-18 13:00:00",0.8841,0.1073,0.0086
"68","15821",TRUE,168,Nantes,NAN,241,Brest,BRE,3,1,1.90561,0.839348,"2020-10-18 13:00:00",0.6786,0.2243,0.0971
"69","15824",TRUE,175,Saint-Etienne,SEN,170,Nice,NIC,1,3,0.714171,2.52438,"2020-10-18 15:00:00",0.0294,0.1089,0.8617
"70","15818",TRUE,160,Lille,LIL,210,Lens,LEN,4,0,2.90262,0.254965,"2020-10-18 19:00:00",0.9442,0.0465,0.0093
"71","15832",TRUE,163,Rennes,REN,167,Angers,ANG,1,2,1.21675,1.20512,"2020-10-23 19:00:00",0.3568,0.3114,0.3318
"72","15835",TRUE,179,Lorient,LOR,164,Marseille,MAR,0,1,0.846635,0.880426,"2020-10-24 15:00:00",0.3186,0.3494,0.332
"73","15831",TRUE,161,Paris Saint Germain,PSG,181,Dijon,DJN,4,0,4.08894,1.49175,"2020-10-24 19:00:00",0.8841,0.076,0.0399
"74","15826",TRUE,176,Bordeaux,BOR,235,Nimes,NIM,2,0,1.92729,0.712337,"2020-10-25 14:00:00",0.7117,0.1995,0.0888
"75","15828",TRUE,180,Metz,MET,175,Saint-Etienne,SEN,2,0,0.330896,0.631401,"2020-10-25 14:00:00",0.1519,0.4528,0.3953
"76","15829",TRUE,166,Montpellier,MPL,177,Reims,REI,0,4,0.13909,4.33321,"2020-10-25 14:00:00",0.0002,0.0019,0.9979
"77","15833",TRUE,241,Brest,BRE,225,Strasbourg,STR,0,3,0.732823,1.29304,"2020-10-25 14:00:00",0.1642,0.2906,0.5452
"78","15830",TRUE,170,Nice,NIC,160,Lille,LIL,1,1,0.866315,0.890546,"2020-10-25 16:00:00",0.3216,0.3457,0.3327
"79","15827",TRUE,178,Lyon,LYO,171,Monaco,MON,4,1,3.43243,1.89348,"2020-10-25 20:00:00",0.7265,0.1572,0.1163
"80","15842",TRUE,163,Rennes,REN,241,Brest,BRE,2,1,1.40289,1.03943,"2020-10-31 16:00:00",0.4317,0.2974,0.2709
"81","15839",TRUE,168,Nantes,NAN,161,Paris Saint Germain,PSG,0,3,1.63127,2.72536,"2020-10-31 20:00:00",0.1306,0.2087,0.6607
"82","15843",TRUE,175,Saint-Etienne,SEN,166,Montpellier,MPL,0,1,0.484542,0.937369,"2020-11-01 12:00:00",0.1734,0.3562,0.4704
"83","15836",TRUE,167,Angers,ANG,170,Nice,NIC,0,3,0.395203,2.78036,"2020-11-01 14:00:00",0.0065,0.0458,0.9477
"84","15837",TRUE,181,Dijon,DJN,179,Lorient,LOR,0,0,0.377123,1.14876,"2020-11-01 14:00:00",0.0811,0.2804,0.6385
"85","15840",TRUE,235,Nimes,NIM,180,Metz,MET,0,1,0.78372,0.859238,"2020-11-01 14:00:00",0.2914,0.3487,0.3599
"86","15841",TRUE,177,Reims,REI,225,Strasbourg,STR,2,1,0.911301,1.42258,"2020-11-01 14:00:00",0.1776,0.3047,0.5177
"87","15838",TRUE,171,Monaco,MON,176,Bordeaux,BOR,4,0,3.9375,0.204669,"2020-11-01 16:00:00",0.9964,0.0034,0.0002
"88","15844",TRUE,160,Lille,LIL,178,Lyon,LYO,1,1,0.444747,0.421049,"2020-11-01 20:00:00",0.2535,0.4941,0.2524
"89","15847",TRUE,225,Strasbourg,STR,164,Marseille,MAR,0,1,0.324201,0.0420124,"2020-11-06 20:00:00",0.267,0.7028,0.0302
"90","15848",TRUE,176,Bordeaux,BOR,166,Montpellier,MPL,0,2,0.474622,1.59436,"2020-11-07 16:00:00",0.085,0.215,0.7
"91","15846",TRUE,161,Paris Saint Germain,PSG,163,Rennes,REN,3,0,1.02539,0.855589,"2020-11-07 20:00:00",0.3957,0.3336,0.2707
"92","15852",TRUE,241,Brest,BRE,160,Lille,LIL,3,2,1.47256,2.97059,"2020-11-08 12:00:00",0.1138,0.1638,0.7224
"93","15850",TRUE,235,Nimes,NIM,167,Angers,ANG,1,5,1.66648,2.03947,"2020-11-08 14:00:00",0.2757,0.2675,0.4568
